SMILES,ID,is_active
OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc2ccccc2)NC(=O)c3ccco3,291660,1
CCCCCCCC[C@H](N[C@@H](C)C(=O)N2[C@H](C(O)=O)CN(Cc1ccccc1)C2=O)C(O)=O,164736,1
CCCC(N[C@@H](C)C(=O)N2C1CCCCC1CC2C(O)=O)C(O)=O,265492,1
OC(=O)[C@@H]2C[C@@H](C1CCCCC1)CN2C(=O)CP(O)(=O)CCCCc3ccccc3,16962,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N3N=C(c2ccccc2)S[C@H]3C(O)=O,231033,1
OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](S)CCc3ccccc3,23551,1
CCCCCCCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(O)=O)CN(C)C1=O)C(O)=O,164832,1
C[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N2CCCCC2C(O)=O,22851,1
CC(C)[C@H](NC(=O)[C@@H](S)CCc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O,23591,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N3[C@H](C(O)=O)CN(Cc2ccccc2)C3=O,164624,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2[C@H](C(O)=O)CN(C)C2=O,164806,1
CC(C(CS)C(=O)NC(Cc1ccccc1)C(O)=O)c2ccccc2,8886,1
OC(=O)CN2CCCCCC(NC(CCc1ccccc1)C(O)=O)C2=O,141266,1
OC(=O)[C@H]1CCCC2N1C(=O)[C@H](CS)Cc3ccccc23,127885,1
CC[C@H](C)[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O,23589,1
OC(=O)[C@@H](CCC(=O)N2[C@H]1CCCC[C@H]1C[C@H]2C(O)=O)NC(=O)OCc3ccccc3,61595,1
OC(=O)CN3C(c1cccs1)CSC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,94347,1
OC(=O)CN2C(=O)[C@@H](N[C@@H](CSCc1ccccc1)C(O)=O)CCc3ccccc23,61767,1
OC(=O)CN2C(=O)[C@@H](NC(CCc1ccccc1)C(O)=O)CSc3ccccc23,55362,1
OC(=O)CN3C[C@@H](c1ccccc1)CC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,223692,1
CC(NC(CCc1ccccc1)C(O)=O)C(=O)N3Cc2ccccc2C3C(O)=O,91813,1
CC(NC(CCc1cccc2ccccc12)C(O)=O)C(=O)N3CCCC3C(O)=O,177400,1
OC(=O)Cn2c(=O)n1CC=CC(C(O)=O)n1c2=O,177168,1
C[C@H](CS)C(=O)N3[C@@H](SCc1cccc2ccccc12)CC[C@H]3C(O)=O,510091,1
OC(=O)CN3[C@H](c1ccccc1)CSC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,94154,1
CC[C@H](C)[C@H](NC(=O)[C@@H](S)c1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O,23297,1
OC(=O)CN3[C@H](c1ccccc1)CCC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,223760,1
OC(=O)CN3C[C@@H](c1cccs1)SC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,94152,1
OC(=O)CN3C[C@@H](c1ccccc1)SC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,94236,1
CC[C@H](C)C(S)C(=O)NCC(=O)N1[C@H](C(O)=O)CC[C@@H]1c2ccccc2,141365,1
C[C@H](C[Si](O)(O)[C@H](Cc1ccccc1)NC(=O)c2ccccc2)C(=O)N3CCC[C@H]3C(O)=O,158523,1
OC(=O)CN1C(=O)C(CS)CCCc2ccccc12,279956,1
OC(=O)CN2C(=O)C(N[C@@H](CCc1ccccc1)C(O)=O)CCCc3ccccc23,550803,1
OC(=O)CN2C(=O)[C@@H](N[C@@H](CSc1ccccc1)C(O)=O)CCc3ccccc23,62046,1
CC(C)(C)OC(=O)NCCCC[C@H](N[C@H]2CCc1ccccc1N(CC(O)=O)C2=O)C(O)=O,61723,1
OC(=O)[C@@H]1CCCCCc2cccc(C[C@H](CS)C(=O)N1)c2,247484,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N3[C@H]2CCC[C@H]2C[C@H]3C(O)=O,189203,1
OC(=O)CN3C[C@@H](c1ccsc1)SC[C@H](N[C@@H](CCc2ccccc2)C(O)=O)C3=O,94237,1
C[C@H](CS)C(=O)N3[C@@H](SCc2ccc1ccccc1c2)CC[C@H]3C(O)=O,510160,1
OC(=O)[C@H]1CCCN1C(=O)COCC(=O)C(Cc2ccccc2)NC(=O)c3ccccc3,295723,1
OC(=O)C2CCc1cc(F)ccc1N2C(=O)CCS,30018,1
C[C@H](C[C@@H](CCc1ccccc1)C(O)=O)C(=O)N2C(C(O)=O)Cc3ccccc23,30560,1
OC(=O)[C@@H]3CC[C@@H]2CCC[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N23,59196,1
CCC[C@H]2CCC[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N2[C@@H](C)C(O)=O,244385,1
OC(=O)[C@@H]3CCC[C@@H]2SCC[C@H](NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N23,59756,1
OC(=O)[C@@H]3CCC[C@@H]2CCCC(NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N23,188604,1
OC(=O)[C@@H]3CCCC2SCCC[C@H](NC(=O)[C@@H](S)Cc1ccccc1)N23,331317,1
CC(C)CC(NP(O)(=O)OC1OC(C)C(O)C(O)C1O)C(=O)NC(Cc2c[nH]c3ccccc23)C(O)=O,60254,1
CC(NP(O)(O)=O)C(=O)C1CCCC1C(O)=O,176799,1
ON(C[C@@H](Cc1ccccc1)C(=O)N[C@H]3CCc2ccccc2N(CC(O)=O)C3=O)C=O,141606,1
C[C@H](CS)C(=O)N2[C@@H]1C[C@@H]1CC[C@H]2C(O)=O,105303,1
OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](S)Cc3ccccc3,23652,1
OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc2cccnc2)NC(=O)c3ccccc3,290548,1
OC(=O)CN2C(=O)[C@@H](NC(CCc1ccccc1)C(O)=O)CS(=O)c3ccccc23,55624,1
OC(=O)CN2C(=O)[C@@H](NC(=O)[C@@H](S)Cc1ccccc1)CCCC23CCCC3,172841,1
C[C@H](CS)C(=O)N2[C@H]1C[C@H]1C[C@H]2C(O)=O,105001,1
CS(=O)(=O)N[C@@H](CCCCN)C(=O)NC[C@H](CC2(C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)CCCC2)C(O)=O,63615,1
OC(=O)CN2C(=O)[C@@H](N[C@@H](CSCCc1ccccc1)C(O)=O)CCc3ccccc23,62048,1
CN(C)CCOC(=O)[C@@H]2Cc1ccccc1N2C(=O)CC[C@@H](NC(=O)OCc3ccccc3)C(O)=O,60588,1
O=C3CCSC(=O)C2CC1CCCCC1N23,293969,1
CN(CC(=O)NO)C(=O)C1CCCCC1C(O)=O,269005,1
CC(CS)C(=O)N(CC(O)=O)C1CCCCCC1,29826,1
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)C(C)OCc1ccccc1)C(=O)N[C@@H](Cc2ccc(O)cc2)C(O)=O,24281,1
CC(CS)C(=O)N(CC(O)=O)c2ccc1OCOc1c2,30355,1
CC(CS)C(=O)N(CC(O)=O)C1CSCCSC1,29825,1
C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N2[C@H](C(O)=O)Cc3ccccc23,77487,1
OC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](S)Cc4ccccc4,24259,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N3C(c2ccc(Cl)c(S(N)(=O)=O)c2)SC[C@H]3C(O)=O,62648,1
C[C@H](NP(O)(=O)Oc1ccccc1)C(=O)N2CCC[C@H]2C(O)=O,45167,1
OC(=O)CN2CCCCCCC(NC(CCc1ccccc1)C(O)=O)C2=O,141297,1
OC(=O)CN2C(=O)[C@@H](N[C@@H](Cc1ccccc1)C(O)=O)CCc3ccccc23,61563,1
C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N3C[C@@H](Sc2ccccc2)C[C@H]3C(O)=O,77615,1
CC(CS)C(=O)N(CC(O)=O)c2ccc1CCCc1c2,30185,1
OC(=O)CN2C(=O)[C@@H](NC(=O)[C@@H](S)Cc1ccccc1)CCCC23CC3,172936,1
C[C@H](NC(=O)[C@@H](CSC(O)=O)Cc2ccc1OCOc1c2)C(=O)OCc3ccccc3,189064,1
OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc3ccc(OCc2ccccc2)cc3)NC(=O)c4ccccc4,289842,1
CC(CS)C(=O)N(CC(O)=O)c2ccc1OCCOc1c2,30353,1
OC(=O)CN3Cc1ccccc1CC(N[C@H](CCc2ccccc2)C(O)=O)C3=O,173926,1
OC(=O)CN2C(=O)[C@@H](N[C@@H](COCc1ccccc1)C(O)=O)CCc3ccccc23,61768,1
CC(NC(=O)C1CCCCC1S)C(=O)N2CCCC2C(O)=O,177430,1
CC2CCCC(NC(CCc1ccccc1)C(O)=O)C(=O)N2CC(O)=O,177125,1
CC(C)[C@H](S)C(=O)NC3(C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)CCCC3,244627,1
OC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CS)Cc4ccccc4,77688,1
C[C@H](N[C@@H](Cc1ccccc1)C(O)=O)C(=O)N3[C@H](C(O)=O)CN(Cc2ccccc2)C3=O,164704,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1ccsc1)C(O)=O)CCCC2,244407,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)CCOCC2,244955,1
OC(=O)C2CC1CCCCC1N2C(=O)CCC(=O)C(Cc3ccccc3)NC(=O)c4ccccc4,294669,1
OC(=O)[C@H]1CCCN1C(=O)CSCC(=O)C(Cc2ccccc2)NC(=O)c3ccccc3,294875,1
OC(=O)[C@@H]1CSCCCCCCCC(CS)C(=O)N1,208037,1
OC(=O)[C@H](COCc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](S)Cc3ccccc3,23601,1
OC(=O)C1CC3(CN1C(=O)CP(O)(=O)CCCCc2ccccc2)SCCS3,177124,1
OC(=O)CN3C(=O)[C@@H](N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)CCc4ccccc34,61523,1
OC(=O)CN2C(=O)[C@@H](N[C@@H](CCCCNC(=O)OCc1ccccc1)C(O)=O)CCc3ccccc23,61237,1
OC(=O)C2C1CCCCC1C(=O)N2C(=O)CCS,294119,1
OC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2cccc3ccccc23)NC(=O)[C@@H](S)Cc4ccccc4,271723,1
CC(C)CC(NC(=O)c1ccccc1)[Si](O)(O)CC(C)C(=O)N2CCC[C@H]2C(O)=O,158520,1
CCOC(=O)C(CCc1ccccc1)OC(C)C(=O)N3Cc2ccccc2CC3C(O)=O,31742,1
C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N3Cc2ccccc2C[C@H]3C(O)=O,77675,1
OC(=O)[C@@H](CCC(=O)N2Cc1ccccc1C[C@H]2C(O)=O)NC(=O)OCc3ccccc3,61326,1
CC3CSC(=O)C2Cc1ccccc1N2C3=O,214726,1
OC(=O)[C@H](CSCc1ccccc1)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](S)Cc3ccccc3,24011,1
O=C(CCC(=O)N1CCC[C@H]1C(=O)OCc2ccccc2)C(Cc3cccnc3)NC(=O)c4ccccc4,289848,1
OC(=O)[C@@H]1CCCN1C(=O)CP(O)(=O)CCCCc2ccccc2,16831,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)CC2,244610,1
OC(=O)CN3[C@@H](C1CCCC1)CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C3=O,244992,1
OC(=O)[C@@H]1CSCCCCCCCCC(CS)C(=O)N1,207090,1
OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C3(NC(=O)C2(S)CCCC2)CCCC3,244967,1
OC(=O)[C@@H](CCC(=O)N2C[C@H]1CCCC[C@H]1C[C@H]2C(O)=O)NC(=O)OCc3ccccc3,61635,1
OC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc3ccc2ccccc2c3)NC(=O)[C@@H](S)Cc4ccccc4,271722,1
CC(CS)C(=O)N(CC(O)=O)C1CCC1,265136,1
C[C@H](CS)C(=O)N2C[C@H](NC(=O)C(CS)Cc1ccccc1)C[C@H]2C(O)=O,144883,1
CC(CS)C(=O)N2Cc1ccccc1CC2C(O)=O,29524,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1cccs1)C(O)=O)CCCC2,245103,1
C[C@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(=O)N3C[C@H](C2CCCCC2)C[C@H]3C(O)=O,77650,1
CC(CS)C(=O)N(CC(O)=O)C2CCC(c1ccccc1)CC2,29548,1
Cc2ccc(CSC[C@@H](NC(=O)[C@@H](CS)Cc1ccccc1)C(O)=O)cc2,130887,1
CCCCc1nc(Cl)c(CO)n1Cc4ccc(c2ccccc2c3nn[nH]n3)cc4,408842,1
OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc2ccccc2)NC(=O)C3CCCO3,292067,1
CC(CSC(C)=O)C(=O)N(CC(O)=O)C1CC2CCC1C2,264131,1
OC(=O)CN2C(=O)C(OP(O)(=O)CCCCc1ccccc1)CCc3ccccc23,81420,1
OC(=O)C(CCCCc1cccc2cncn12)CCC(=O)N3[C@H](C(O)=O)Cc4ccccc34,81546,1
OC(=O)C2CSC(c1ccccc1O)N2C(=O)CCS,177439,1
Cc3ccc(S(=O)(=O)N[C@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)C(O)=O)cc3,61983,1
COc2ccc(N(CC(O)=O)C(=O)CC[C@@H](NC(=O)OCc1ccccc1)C(O)=O)cc2OC,61594,1
CC[C@H](C)C(N[C@@H](C)C(O)=O)C(=O)N[C@@H](Cc2ccc(c1ccccc1)cc2)C(O)=O,148799,1
OC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)C3(NC(=O)[C@@H](S)Cc2ccccc2)CCCC3,244508,1
OC(=O)CN3[C@@H](CC1CC1)CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C3=O,244822,1
CCOC(=O)C(CCc1ccccc1)OC(C)C(=O)N3C2CCCCC2CC3C(O)=O,32107,1
OC(=O)[C@@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)NC(=O)c3cccnc3,60689,1
OC(=O)C2C1CCCCC1CN2C(=O)CCS,295322,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N3CC(NNC(=O)c2ccc(Cl)c(S(N)(=O)=O)c2)C[C@H]3C(O)=O,61967,1
CC(CS)C(=O)N2C(C(O)=O)Cc3cc1OCOc1cc23,30311,1
CC(C)[C@H](S)C(=O)NC3(C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)Cc2ccccc2C3,244620,1
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C4CCc5cc(c3ccccc3)ccc45,94968,1
OC(=O)[C@@H](Cc1ccccc1)NC(=O)CCC(=O)C(Cc2ccccc2)NC(=O)c3ccccc3,291586,1
OC(=O)[C@@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)NC(=O)c3ccccc3,62003,1
CC[C@@H](C)[C@H](NC(=O)[C@@H](S)c1ccccc1)C(=O)N2CCCC2C(O)=O,23549,1
OC(=O)CN2C(=O)[C@@H](NC(=O)[C@@H](S)Cc1ccccc1)CCCC23CCC3,172899,1
CC(C)CN(CP(O)(O)=O)C(=O)N[C@@H](Cc2ccc1ccccc1c2)C(O)=O,436753,1
OC(=O)[C@@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)NS(=O)(=O)Cc3ccccc3,61944,1
CC(C)[C@H](S)C(=O)NC1CCc2cccc3C[C@@H](C(O)=O)N(C1=O)c23,159431,1
CC(CS)C(=O)N(CC(O)=O)C1CC1,264734,1
Cc4c(c1cccnc1)n(CCCCP(O)(=O)OC3CCc2ccccc2N(CC(O)=O)C3=O)c5ccccc45,81844,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](CCc1ccccc1)C(O)=O)CCCC2,244968,1
CCc3ccc2N(C(=O)C(C)CSC(=O)c1ccccc1)C(C(O)=O)Cc2c3,214911,1
OC(=O)C3(NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](S)Cc2ccccc2)CCCC3,23651,1
OC(=O)CCc2cc(O)c1CCC(C(O)=O)n1c2=O,176800,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)CCCCC2,245129,1
CCC(CC)N(CC(O)=O)C(=O)C(C)CS,30124,1
CC(OCc1ccccc1)[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,22852,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1ccccn1)C(O)=O)CCCC2,244628,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1cccnc1)C(O)=O)CCCC2,245114,1
O[C@@H](CN(Cc1ccc3c(c1)c(=O)c2ccccc23)C(=O)N[C@@H](Cc5ccc4ccccc4c5)C(O)=O)C(O)=O,436344,1
C[C@H](NC(=O)[C@H](Cc2ccc(c1ccccc1)cc2)CP(O)(=O)[C@H](N)Cc3ccccc3)C(O)=O,641464,1
CC(OP(O)(=O)C(CCc1ccccc1)NC(=O)c2ccccc2)C(=O)N3CCCC3C(O)=O,177520,1
OC(=O)[C@@H]2Cc4cccc3CCC(NC(=O)[C@@H](S)Cc1ccccc1)C(=O)N2c34,159589,1
O[C@@H](CN(Cc3ccc2c(=O)c1ccccc1c(=O)c2c3)C(=O)N[C@@H](Cc5ccc4ccccc4c5)C(O)=O)C(O)=O,436252,1
OC(=O)[C@@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)NC(=O)CCc3ccccc3,62004,1
OC(=O)CN(C1CCCC1)C(=O)CC[C@@H](NC(=O)OCc2ccccc2)C(O)=O,61252,1
OC(=O)[C@@H]1CCCN1C(=O)CCCC(=O)C(Cc2ccccc2)NC(=O)c3ccccc3,290031,1
CC(CS)C(=O)N(CC(O)=O)c2ccc(Oc1ccccc1)cc2,30871,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N3C[C@@H](NC(=O)C(CS)Cc2ccccc2)C[C@H]3C(O)=O,144706,1
CC(C(CS)C(=O)NC(COCc1ccccc1)C(O)=O)c2ccccc2,8648,1
C[C@H](N[C@@H](CCc1ccccc1)C(O)=O)C(=O)N3C[C@@H](NC(=O)NC(CS)Cc2ccccc2)C[C@H]3C(O)=O,144671,1
C[C@H](N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc3ccc(c2ccccc2)cc3)C(O)=O)P(O)(O)=O,149683,1
OC(=O)[C@@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)NC(=O)Nc3ccccc3,61946,1
CC(CSC(C)=O)C(=O)N(CC(O)=O)C1CCC2CC1C2(C)C,264634,1
CC(C(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O)c4ccc3ccccc3c4,51456,1
OC(=O)[C@@H](CCC(=O)N1CCC[C@H]1C(O)=O)NC(=O)OCc2ccccc2,61661,1
OC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](S)Cc4ccccc4,24260,1
OC(=O)[C@@H]2Cc1ccccc1N2C(=O)CC[C@H]4N(C(=O)OCc3ccccc3)CCOC4=O,60660,1
CC(N1CCCCCC(CS)C1=O)C(O)=O,279954,1
OC(=O)[C@H](Cc2ccc(c1ccccc1)cc2)NC(=O)[C@H](Cc4ccc3ccccc3c4)NCP(O)(O)=O,149565,1
CC(CS)C(=O)N(CC(O)=O)Cc1cccs1,264291,1
OC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc3ccc(c2ccccc2)cc3)NC(=O)[C@@H](S)Cc4ccccc4,271416,1
OC(=O)[C@@H](CCC(=O)N1[C@H](C(O)=O)Cc2ccccc12)NC(=O)c3ccccn3,60688,1
CC(C)[C@H](S)C(=O)N[C@@H](Cc2ccc(c1ccccc1)cc2)C(=O)N[C@@H](Cc3ccc(O)cc3)C(O)=O,244966,1
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N2C(C(O)=O)CCC2=O,548889,1
OC(=O)C1CCCN1C(=O)C2CCCC2SC(=O)c3ccccc3,177488,1
CC(C)[C@H](S)C(=O)NC2(C(=O)N[C@@H](Cc1ccc(O)cc1)C(O)=O)CC3CCC2C3,245130,1
CC(CS)C(=O)N(CC(O)=O)c2ccc(OCc1ccccc1)cc2,30835,1
OC(=O)[C@@H]1CCCN1C(=O)CNCC(=O)[C@H](Cc2ccccc2)NC(=O)c3ccccc3,156513,1
OC(=O)[C@@H]3Cc5cccc4CCC(NC(=O)C(CS)Cc2ccc(c1ccccc1)cc2)C(=O)N3c45,159112,1
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)c4ccc(c3ccccc3)cc4,51111,1
CC(C(CS)C(=O)NC(Cc1c[nH]c2ccccc12)C(O)=O)c3cccc4ccccc34,51544,1
OC(=O)[C@@H](CSCCc1ccccc1)NC(=O)[C@@H](CS)Cc2ccccc2,131064,1
CC(=O)SC(CC(=O)N1CCCC1C(O)=O)C(=O)c3ccc(c2ccccc2)cc3,211801,1
CC(CS)C(=O)N(CC(O)=O)C2C1CC3CC(C1)CC2C3,29584,1
OC(=O)C2CCc1ccccc1N2C(=O)CC[C@@H](NC(=O)OCc3ccccc3)C(O)=O,61159,1
Cc3ccc(CSC[C@@H](NC(=O)[C@H](CS)Cc1cccc2ccccc12)C(O)=O)cc3,130318,1
O[C@H](CC(=O)[C@H](Cc1ccccc1)NC(=O)c2ccccc2)C(=O)N3[C@H](C(O)=O)Cc4ccccc34,154458,1
ON(C[C@@H](Cc1ccccc1)C(=O)N[C@H]3COc2ccccc2N(CC(O)=O)C3=O)C=O,141657,1
OC(=O)[C@@H]2Cc4cccc3CCC(NC(=O)[C@@H](S)C1CCCCC1)C(=O)N2c34,159545,1
CC(C)CN(C[C@H](O)C(O)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,436666,1
CC(=O)SC(CC(=O)N1CCCC1C(O)=O)C(=O)c2cccc(C(F)(F)F)c2,212508,1
CC(OC(CCc1ccccc1)C(O)=O)C(=O)N2CCCC2C(O)=O,31520,1
OC(=O)C1CCCN1C(=O)CC(SC(=O)c2ccccc2)C(=O)c3ccc(Br)cc3,211791,1
OC(=O)C1CCCN1C(=O)C2CCCC2S,177476,1
OC(=O)C1CCCN2N1C(=O)C(CS)CC2=O,177500,1
CC(CS)C(=O)N(CC1CCCO1)CC(O)=O,264288,1
CC(=O)SC(CC(=O)N1CCCC1C(O)=O)C(=O)c3ccc2ccccc2c3,212528,1
CC(C)[C@H](S)C(=O)NC3(C(=O)N[C@@H](Cc2ccc(c1ccccc1)cc2)C(O)=O)CCCC3,99249,1
CC(S)C(=O)N1CSC[C@H]1C(O)=O,276724,1
CC(SC(CCc1ccccc1)C(O)=O)C(=O)N3C2CCCCC2CC3C(O)=O,31743,1
OC(=O)[C@H](Cc2ccc(c1ccccc1)cc2)NC(=O)[C@H](Cc4ccc3OCOc3c4)NCP(O)(O)=O,149361,1
C[C@H](CS)C(=O)N2C[C@@H](NC(=O)NC(CS)Cc1ccccc1)C[C@H]2C(O)=O,144881,1
O[C@@H](CN(Cc3ccc2c(Cc1ccccc12)c3)C(=O)N[C@@H](Cc5ccc4ccccc4c5)C(O)=O)C(O)=O,436854,1
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)c3cccc4ccccc34,51289,1
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)c4cccc(c3ccccc3)c4,51152,1
OC(=O)C1CCCN1C(=O)C2CCC2S,177449,1
